Feature_ID	Female_108 - Total gene reads	Male_108 - Total gene reads
TR145|c0_g1_i1	9	20
TR146|c0_g1_i1	19	18
TR146|c0_g2_i1	0	20
TR147|c0_g1_i1	65	92
TR148|c0_g1_i1	107	106
TR148|c0_g2_i1	1	3
TR149|c0_g1_i1	143	109
TR149|c0_g2_i1	0	2
TR150|c0_g1_i1	20	8
TR151|c0_g1_i1	21	17
TR152|c0_g1_i1	24	22
TR153|c0_g1_i1	12	0
TR154|c0_g1_i1	27	44
TR155|c0_g1_i1	16	6
TR155|c0_g2_i1	0	2
TR156|c0_g1_i1	19	11
TR157|c0_g1_i1	23	29
TR158|c0_g1_i1	4	12
TR159|c0_g1_i1	9	17
TR160|c0_g1_i1	8	5
TR161|c0_g1_i1	27	13
TR162|c0_g1_i1	635	284
TR163|c0_g1_i1	20	45
TR164|c0_g1_i1	8	3
TR165|c0_g1_i1	8	4
TR166|c0_g1_i1	29	114
TR167|c0_g1_i1	19	26
TR168|c0_g1_i1	1	2
TR168|c0_g2_i1	0	5
TR169|c0_g1_i1	9	13
TR170|c0_g1_i1	0	0
TR170|c0_g2_i1	17	7
TR171|c0_g1_i1	10	10
TR172|c0_g1_i1	5	5
TR172|c0_g2_i1	5	7
TR173|c0_g1_i1	14	11
TR174|c0_g1_i1	11	0
TR174|c0_g2_i1	0	3
TR175|c0_g1_i1	22	42
TR175|c0_g2_i1	2	3
TR176|c0_g1_i1	319	363
TR177|c0_g1_i1	2	7
TR178|c0_g1_i1	8	8
TR179|c0_g1_i1	3	12
TR179|c0_g2_i1	5	0
TR180|c0_g1_i1	1	9
TR181|c0_g1_i1	0	0
TR181|c0_g2_i1	2	6
TR182|c0_g1_i1	7	13
TR183|c0_g1_i1	7	17
TR184|c0_g1_i1	47	32
TR185|c0_g1_i1	5	0
TR185|c0_g2_i1	10	14
TR186|c0_g1_i1	0	2
TR187|c0_g1_i1	2	6
TR188|c0_g1_i1	16	13
TR189|c0_g1_i1	11	11
TR190|c0_g1_i1	44	127
TR191|c0_g1_i1	7	5
TR191|c0_g2_i1	15	8
TR192|c0_g1_i1	6	12
TR193|c0_g1_i1	0	0
TR193|c0_g2_i1	18	10
TR194|c0_g1_i1	39	60
TR194|c0_g2_i1	11	13
TR195|c0_g1_i1	6	12
TR196|c0_g1_i1	16	26
TR197|c0_g1_i1	0	4
TR197|c0_g2_i1	6	0
TR198|c0_g1_i1	248	1389
TR199|c0_g1_i1	45	170
TR200|c0_g1_i1	16	23
TR201|c0_g1_i1	23	0
TR202|c0_g1_i1	99	40
TR202|c0_g1_i2	0	0
TR203|c0_g1_i1	17	16
TR204|c0_g1_i1	2	16
TR204|c1_g1_i1	4	4
TR205|c0_g1_i1	4	15
TR206|c0_g1_i1	40	0
TR206|c0_g1_i2	11	66
TR207|c0_g1_i1	19	26
TR208|c0_g1_i1	0	9
TR209|c0_g1_i1	18	5
TR210|c0_g1_i1	2	0
TR210|c0_g2_i1	24	10
TR211|c0_g1_i1	1253	1931
TR212|c0_g1_i1	11	31
TR212|c0_g2_i1	21	0
TR213|c0_g1_i1	5	6
TR214|c0_g1_i1	0	0
TR214|c0_g2_i1	0	0
TR215|c0_g1_i1	39	155
TR215|c0_g1_i2	8	178
TR216|c0_g1_i1	19	11
TR217|c0_g1_i1	18	8
TR217|c0_g2_i1	1	0
TR218|c0_g1_i1	0	0
TR218|c0_g2_i1	3	1
TR219|c0_g1_i1	16	11
TR220|c0_g1_i1	7	16
TR221|c0_g1_i1	2	8
TR222|c0_g1_i1	3	12
TR223|c0_g1_i1	0	0
TR223|c0_g2_i1	4	10
TR224|c0_g1_i1	0	0
TR224|c0_g2_i1	20	15
TR225|c0_g1_i1	4	5
TR226|c0_g1_i1	0	4
TR226|c0_g2_i1	4	6
